,date,open,high,low,close,volume
0,2013-09-01,806.37,815.0,803.2,811.42,84.2276
1,2013-09-02,810.6,816.7,801.0,811.0,317.1206
2,2013-09-03,809.7,812.0,797.9,801.37,304.0173
3,2013-09-04,801.0,802.2,797.0,798.2,308.53
4,2013-09-05,800.0,802.0,663.27,752.3,1016.1104
5,2013-09-06,752.3,752.3,723.64,739.98,518.1195
6,2013-09-07,739.2,740.4,696.9,725.0,1033.8905
7,2013-09-08,725.79,732.0,715.85,715.86,698.429
8,2013-09-09,715.86,769.05,711.81,755.26,766.0423
9,2013-09-10,756.0,763.0,500.0,749.0,1726.9743
10,2013-09-11,747.0,757.0,722.0,749.0,1190.6702
11,2013-09-12,748.99,768.3,746.0,759.0,828.1462
12,2013-09-13,758.0,766.76,754.0,762.61,594.4632
13,2013-09-14,763.23,766.58,753.2,753.25,2145.4302
14,2013-09-15,754.44,761.0,741.76,754.25,696.2108
15,2013-09-16,755.68,758.08,745.0,756.6,907.4939
16,2013-09-17,752.14,757.59,748.63,753.9,968.4375
17,2013-09-18,755.4,765.0,754.6,758.8,424.1958
18,2013-09-19,758.8,763.0,754.4,755.0,329.9089
19,2013-09-20,755.76,755.76,738.0,743.0,675.4576
20,2013-09-21,743.0,747.61,740.69,740.69,577.7013
21,2013-09-22,740.26,747.0,740.26,745.61,424.791
22,2013-09-23,745.61,746.0,730.43,736.0,450.8465
23,2013-09-24,735.95,741.0,729.3,729.3,684.1842
24,2013-09-25,733.0,751.5,732.9,747.0,1123.5083
25,2013-09-26,747.0,750.6,745.0,747.37,737.9142
26,2013-09-27,748.25,760.6,747.4,758.0,1503.6944
27,2013-09-28,758.17,767.0,756.0,762.0,2118.4571
28,2013-09-29,762.0,789.0,760.4,788.0,2851.3215
29,2013-09-30,786.4,794.2,770.0,770.0,2387.7725
30,2013-10-01,773.0,784.36,766.0,780.67,1332.8924
31,2013-10-02,780.67,782.1,776.0,778.0,1008.3536
32,2013-10-03,778.0,778.0,679.11,735.0,3876.1255
33,2013-10-04,739.5,770.0,726.01,758.0,2406.0372
34,2013-10-05,758.1,765.03,753.0,760.0,1044.442
35,2013-10-06,760.05,762.24,755.0,760.0,1009.8404
36,2013-10-07,755.8,770.0,755.8,763.0,1613.0421
37,2013-10-08,763.0,769.0,761.5,765.0,1176.6683
38,2013-10-09,765.0,800.48,765.0,793.0,3191.644
39,2013-10-10,791.06,809.0,791.06,795.01,3367.0715
40,2013-10-11,795.01,808.88,794.8,801.98,4384.0927
41,2013-10-12,800.5,806.5,798.87,803.0,1906.7376
42,2013-10-13,803.0,829.0,802.21,829.0,4362.6601
43,2013-10-14,827.0,900.0,823.01,874.0,7573.0006
44,2013-10-15,874.0,885.49,857.2,885.49,3451.6425
45,2013-10-16,886.0,929.99,877.13,912.0,8184.6852
46,2013-10-17,914.05,918.07,885.0,901.0,6288.065
47,2013-10-18,901.0,928.0,900.0,926.7,4861.2711
48,2013-10-19,925.0,1037.35,915.03,1019.0,17943.5282
49,2013-10-20,1018.89,1021.55,978.5,1019.0,5572.175
50,2013-10-21,1018.05,1130.75,1014.2,1119.68,13998.3863
51,2013-10-22,1120.0,1359.99,1106.3,1193.0,15649.8959
52,2013-10-23,1192.97,1265.0,1192.97,1243.8,8680.2319
53,2013-10-24,1243.8,1324.0,1029.0,1218.0,14942.907
54,2013-10-25,1218.0,1220.5,1020.01,1075.0,12866.967
55,2013-10-26,1070.0,1175.0,1020.1,1079.9,8040.8104
56,2013-10-27,1076.1,1134.8,1075.0,1131.3,4489.1749
57,2013-10-28,1131.3,1238.1,1027.1,1236.9,10568.0539
58,2013-10-29,1233.1,1278.0,1220.81,1258.0,6815.5408
59,2013-10-30,1257.0,1280.0,1240.0,1266.0,7155.1013
60,2013-10-31,1266.0,1271.0,1236.0,1259.0,6256.6444
61,2013-11-01,1258.1,1267.0,1256.0,1264.88,5049.3509
62,2013-11-02,1265.0,1277.5,1262.0,1268.98,5569.6958
63,2013-11-03,1269.0,1284.54,1263.01,1279.1,5276.0672
64,2013-11-04,1279.0,1396.0,1279.0,1393.0,17534.7777
65,2013-11-05,1393.0,1515.3,1375.01,1512.5,25318.7851
66,2013-11-06,1512.5,1634.99,1488.0,1624.0,22487.8649
67,2013-11-07,1618.0,1949.99,1608.0,1851.21,39293.8478
68,2013-11-08,1851.3,2046.0,1812.1,2042.0,27105.2219
69,2013-11-09,2043.0,2700.0,2042.0,2500.0,44900.0594
70,2013-11-10,2500.0,2548.7,1925.0,1925.0,48646.8235
71,2013-11-11,1925.0,2249.9,1862.0,2225.0,29828.3586
