,date,open,high,low,close,volume
0,2017-07-16 16:00:00,120,120,90,99.99,370459.3448
1,2017-07-17 16:00:00,99.99,114,99,107.5,487499.6546
2,2017-07-18 16:00:00,107.5,114,102.5,107.49,889487.313
3,2017-07-19 16:00:00,107.49,108.98,101.3,106.25,477789.4664
4,2017-07-20 16:00:00,106.25,116,105.2,108.1,795516.1724
5,2017-07-21 16:00:00,108.1,115,108.01,111.3,619757.5866
6,2017-07-22 16:00:00,111.3,112.78,102.5,106.88,501080.8372
7,2017-07-23 16:00:00,106.9,110.8,104.17,108.9,1607310.1944
8,2017-07-24 16:00:00,108.9,109.1,101,102.53,406725.1438
9,2017-07-25 16:00:00,102.5,102.9,95.01,96.6,362524.6224
10,2017-07-26 16:00:00,98.29,100.9,96.61,99.2,124100.2798
11,2017-07-27 16:00:00,99.2,101.01,96.2,98.29,310919.0634
12,2017-07-28 16:00:00,98.3,98.5,92.12,93.19,246315.5158
13,2017-07-29 16:00:00,92.63,99,92.2,94.21,213236.45
14,2017-07-30 16:00:00,94.32,96.1,92,94.3,189379.274
15,2017-07-31 16:00:00,95,99,92.51,94.8,443254.102
16,2017-08-01 16:00:00,94.8,102.3,94,100.1,1097321.523
17,2017-08-02 16:00:00,100.1,105.7,98.3,103.58,731048.0868
18,2017-08-03 16:00:00,103.58,105.2,102,102.1,401311.7936
19,2017-08-04 16:00:00,102.64,107,101,105.43,873922.3094
20,2017-08-05 16:00:00,105.43,111.4,103.56,105.7,836277.9038
21,2017-08-06 16:00:00,105.8,106.5,102.6,103.15,625967.9546
22,2017-08-07 16:00:00,103.15,106.2,102.61,104.09,748343.8712
23,2017-08-08 16:00:00,104.2,108.9,102.82,103.6,848520.4546
24,2017-08-09 16:00:00,103.6,104.56,102.8,104.19,321963.2424
25,2017-08-10 16:00:00,103.73,108,100,100.38,775814.546
26,2017-08-11 16:00:00,100.36,102.65,99,100.39,459912.4814
27,2017-08-12 16:00:00,100.23,100.69,95.01,96.6,600833.8214
28,2017-08-13 16:00:00,96.6,98,95,95.14,333280.459
29,2017-08-14 16:00:00,95.14,95.59,91,91.43,510399.183
30,2017-08-15 16:00:00,91.43,97.99,91.05,95.16,517754.481
31,2017-08-16 16:00:00,95.16,96.55,93.31,94.21,376523.8962
32,2017-08-17 16:00:00,94.211,96.7,92.7,94.44,470332.8036
33,2017-08-18 16:00:00,94.31,95.3,91.4,91.7,377224.7694
34,2017-08-19 16:00:00,91.71,93.5,91.61,92.45,187467.4026
35,2017-08-20 16:00:00,92.45,98.51,92,96.26,837118.0302
36,2017-08-21 16:00:00,96.19,99.5,93.2,95.27,658018.4978
37,2017-08-22 16:00:00,95.26,106.5,95.01,104.66,1367275.7806
38,2017-08-23 16:00:00,104.69,110,101.61,104,2643458.3818
39,2017-08-24 16:00:00,104,105,101.66,102.86,870660.4982
40,2017-08-25 16:00:00,102.86,103.1,99.61,100.6,442176.7658
41,2017-08-26 16:00:00,100.6,107.7,100.56,105.1,1485228.1168
42,2017-08-27 16:00:00,105.1,109.95,103.25,105.2,1760507.4142
43,2017-08-28 16:00:00,105.2,106,104.01,104.02,683014.5808
44,2017-08-29 16:00:00,104.02,105.58,100,102.56,1155122.5538
45,2017-08-30 16:00:00,102.7,104.91,102.02,103.6,691712.2258
46,2017-08-31 16:00:00,103.6,145,103,135.74,6916494.7194
47,2017-09-01 16:00:00,135.4,158.18,116,127.4,9426582.0132
48,2017-09-02 16:00:00,127.01,134.5,114.84,118.21,6177936.6346
49,2017-09-03 16:00:00,118.21,124,97.3,100.7,5703761.1846
50,2017-09-04 16:00:00,100.7,108,83.36,99.99,6004602.0034
51,2017-09-05 16:00:00,99.99,118.5,99.35,115.5,4846937.0274
52,2017-09-06 16:00:00,115.3,124.68,113.51,115.93,4043535.2446
53,2017-09-07 16:00:00,115.93,117,85,96.99,4458730.4032
54,2017-09-08 16:00:00,96.99,104.3,88,92.5,4128929.3212
55,2017-09-09 16:00:00,92.5,94.5,73.01,85.2,3997482.379
56,2017-09-10 16:00:00,85.2,95,80.21,93.3,3565077.8362
57,2017-09-11 16:00:00,93.2,101.78,90.11,92.2,4188052.7774
58,2017-09-12 16:00:00,92.3,95.5,87.71,90.58,1683425.752
59,2017-09-13 16:00:00,90.5,93.4,57.98,71.78,5238717.7914
60,2017-09-14 16:00:00,71.78,73.24,43.52,63.23,11008472.529
61,2017-09-15 16:00:00,63.5,70,54.62,59.5,5987675.0696
62,2017-09-16 16:00:00,59.5,62.2,55.6,59.42,1541304.1706
63,2017-09-17 16:00:00,59.6,67.76,58.5,65.51,2042001.9256
64,2017-09-18 16:00:00,65.52,72,64.3,68.58,1085266.4636
